freight_train_id,movement_date,origin_station_code,destination_station_code,commodity,load_tonnes,planned_entry_time,planned_exit_time,traffic_priority,corridor,data_status,source_basis,planning_use,simulation_note,reference_1,reference_1_url,reference_2,reference_2_url,reference_3,reference_3_url,reference_4,reference_4_url
FT-DA-011,2026-09-14,NDLS,AGC,Foodgrains,3000,15:10,19:45,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-012,2026-09-14,AGC,NDLS,Fertilizer,2500,16:20,20:55,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-013,2026-09-15,NDLS,AGC,Coal,4100,05:30,10:00,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-014,2026-09-15,AGC,NDLS,Containerized,2900,06:25,10:50,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-015,2026-09-15,NDLS,AGC,Cement,3700,07:40,12:10,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-016,2026-09-15,AGC,NDLS,Foodgrains,3000,08:35,13:05,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-017,2026-09-15,NDLS,AGC,Petroleum products,2300,09:45,14:20,Critical,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-018,2026-09-15,AGC,NDLS,Iron & steel,3400,10:55,15:30,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-019,2026-09-15,NDLS,AGC,Coal,4300,12:05,16:40,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-020,2026-09-15,AGC,NDLS,Containerized,2750,12:55,17:25,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-021,2026-09-15,NDLS,AGC,Cement,3450,14:05,18:35,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-022,2026-09-15,AGC,NDLS,Foodgrains,3050,15:00,19:30,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-023,2026-09-15,NDLS,AGC,Fertilizer,2550,16:10,20:40,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-024,2026-09-15,AGC,NDLS,Coal,4250,17:05,21:35,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-025,2026-09-16,NDLS,AGC,Coal,4000,05:20,09:50,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-026,2026-09-16,AGC,NDLS,Containerized,2850,06:15,10:35,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-027,2026-09-16,NDLS,AGC,Cement,3550,07:25,11:55,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-028,2026-09-16,AGC,NDLS,Foodgrains,3150,08:15,12:45,High,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-029,2026-09-16,NDLS,AGC,Fertilizer,2650,09:30,14:05,Medium,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
FT-DA-030,2026-09-16,AGC,NDLS,Petroleum products,2350,10:25,14:55,Critical,Delhi-Agra,SIMULATED_BY_PLANRAIL,Domain-calibrated PlanRail planning scenario; not a real FOIS/NTES train record,Traffic conflict and maintenance-block optimization,Synthetic planning scenario created for the PlanRail SIH prototype; not an actual Indian Railways/FOIS freight movement record.,RDSO/CAMTECH Indian Railways Handbook on Networking and Data Networks - FOIS,https://rdso.indianrailways.gov.in/uploads/files/Handbook%20on%20Networking%20and%20Data%20Networks%20of%20Indian%20Railways.pdf,Indian Railways Operating Manual - Freight Operation,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/operating%20manual-traffic.pdf,Open Government Data Platform India - Indian Railways Train Time Table,https://jk.data.gov.in/catalog/indian-railways-train-time-table,Kaggle - Indian Railways Dataset (stations/trains/schedules),https://www.kaggle.com/datasets/sripaadsrinivasan/indian-railways-dataset
